Palavra,Frequencia
a,112524
e,100204
que,92990
de,88219
o,81588
nao,46009
se,38296
do,32349
um,32312
da,28995
os,24930
uma,22205
as,22004
com,20774
em,20369
para,18273
lhe,17743
mas,17159
era,15377
me,14746
ao,14659
por,14036
no,13540
mais,12207
na,11785
como,10966
eu,9824
ele,9646
dos,9391
ou,8334
foi,8041
das,6712
disse,6665
esta,6643
nem,6616
ha,6318
quando,5900
ela,5877
sem,5752
nos,5502
ja,5330
la,5196
casa,5060
depois,4930
ser,4860
tudo,4689
tinha,4667
ainda,4574
so,4402
tempo,4391
muito,4251
nada,4191
meu,4146
coisa,4034
dia,3984
olhos,3972
seu,3958
d,3910
sua,3846
mesmo,3824
outro,3789
estava,3779
tao,3766
lo,3729
outra,3709
dois,3672
minha,3669
pode,3614
este,3597
tambem,3440
aos,3417
tem,3403
ate,3402
porque,3374
homem,3368
sao,3345
bem,3309
assim,3307
todos,3275
vez,3208
pouco,3205
quem,3190
dizer,2976
vida,2926
menos,2878
seus,2876
duas,2872
agora,2837
entre,2827
pela,2758
sr,2751
dias,2744
isso,2735
alguma,2667
te,2666
entao,2617
ia,2589
grande,2571
anos,2551
isto,2528
onde,2524
moca,2524
amor,2523
ver,2521
pelo,2501
podia,2486
alguns,2484
eram,2338
noite,2321
aqui,2304
coracao,2289
ter,2287
antes,2245
verdade,2219
outros,2216
nas,2208
fazer,2171
esse,2161
mal,2065
havia,2062
fez,2043
todas,2029
melhor,2025
logo,2021
si,2002
pai,1991
ir,1969
mao,1964
sei,1954
mesma,1908
tres,1906
coisas,1901
mim,1895
dar,1894
suas,1889
fosse,1880
rua,1880
sempre,1866
mulher,1861
essa,1856
nunca,1854
capitulo,1852
algum,1845
vezes,1842
senhor,1800
palavras,1798
parte,1789
ideia,1787
toda,1778
alma,1771
deu,1767
dele,1760
tal,1750
amigo,1744
meio,1741
fora,1730
primeiro,1725
talvez,1702
vai,1693
sim,1692
parece,1677
sobre,1666
espirito,1661
carta,1659
caso,1647
ali,1635
todo,1623
fim,1619
mae,1609
nome,1609
primeira,1591
outras,1582
algumas,1581
mundo,1568
pois,1566
dizia,1546
porta,1525
cabeca,1515
tanto,1510
respondeu,1507
poeta,1466
apenas,1461
perguntou,1457
horas,1455
certo,1444
seria,1434
ninguem,1414
tu,1398
maos,1398
marido,1384
eles,1349
hoje,1341
tenho,1338
bom,1330
velho,1329
homens,1319
razao,1311
boa,1303
creio,1301
modo,1299
pe,1292
aquele,1291
dela,1291
senhora,1282
viu,1277
morte,1272
estas,1272
ora,1255
gente,1255
deus,1243
palavra,1238
filha,1233
aquela,1213
quer,1212
ficou,1208
qual,1200
livro,1199
terra,1188
deste,1188
desde,1187
porem,1176
sala,1175
rapaz,1171
saber,1171
lhes,1161
parecia,1147
foram,1146
falar,1146
ceu,1143
tarde,1134
luis,1123
preciso,1122
nosso,1120
ai,1107
filho,1104
sabe,1100
ve,1098
casamento,1096
hora,1092
faz,1075
voz,1070
voce,1068
nossa,1067
ponto,1057
sou,1057
seja,1049
lugar,1049
teve,1048
rio,1045
olhar,1043
cinco,1038
longe,1036
lado,1030
uns,1026
padre,1025
nova,1021
ar,1021
pessoa,1015
estou,1009
simples,1009
desta,1008
quase,1008
veio,1003
viuva,996
cada,995
meus,994
quanto,993
ah,984
proprio,983
mar,976
ambos,972
vou,967
familia,965
obra,965
vi,965
autor,958
entrou,957
pessoas,947
jose,947
nenhuma,945
devia,945
quatro,924
saiu,920
ocasiao,915
minutos,912
achou,910
papel,909
digo,905
nenhum,902
teatro,898
pobre,897
queria,894
maior,892
amigos,888
maria,885
enfim,881
contra,878
quis,875
diante,873
dr,872
triste,870
noticia,869
chegou,867
posso,867
fazia,864
seguinte,862
vinte,859
durante,855
pedro,852
novo,852
forca,846
meses,843
dentro,837
dai,835
diz,835
gosto,834
historia,832
janeiro,831
jantar,831
gesto,828
alem,828
neste,827
vem,823
mil,823
sera,822
joao,821
comigo,817
muita,816
teu,816
jorge,809
causa,799
muitas,796
segundo,795
qualquer,794
cidade,793
rosto,792
politica,791
sair,790
helena,789
deve,788
semana,788
oh,787
situacao,786
quero,786
v,784
fui,778
propria,777
gilliatt,776
naturalmente,776
silencio,772
entretanto,769
sol,769
grandes,765
tinham,764
continuou,763
leitor,763
s,759
ca,757
natural,756
dava,749
enquanto,749
estar,748
natureza,746
houve,741
resposta,740
ano,737
vao,735
deixou,735
entrar,734
dizendo,734
estado,729
manha,726
velha,723
versos,719
agua,718
respeito,717
dez,714
mesa,711
tua,708
efeito,701
principio,701
moco,700
vamos,698
deles,697
boca,697
rubiao,696
arte,694
tais,689
opiniao,688
resto,684
janela,679
muitos,678
sabia,677
voltou,677
ideias,676
estavam,675
trabalho,673
cena,672
vinha,669
nesse,667
demais,666
luz,662
lagrimas,659
vontade,658
sentimento,658
pena,657
medico,650
passou,644
passo,643
ler,643
pais,642
ouviu,640
via,639
passado,637
ultima,634
casar,633
flor,632
vos,631
ouvir,630
ato,628
felicidade,625
apesar,622
publico,622
los,621
tio,621
oliver,617
bela,617
elas,616
consigo,615
meia,615
vista,613
doutor,612
pareceu,612
feliz,611
esperanca,610
deixar,609
certa,607
quarto,605
caminho,604
ficar,603
pelos,603
embora,602
dinheiro,602
crer,599
feito,599
motivo,597
comecou,589
essas,588
graca,588
daquele,584
disso,583
passar,582
camara,580
dor,575
primeiros,574
estao,574
haver,574
estes,571
contrario,571
levantou,571
cartas,570
daquela,569
vir,568
possivel,568
exemplo,564
pes,561
impossivel,560
senao,560
segunda,557
carlota,553
desejo,551
momento,550
futuro,549
morrer,548
corpo,547
tivesse,545
ordem,545
desse,545
mulheres,544
assunto,542
ouvi,540
achava,540
talento,540
acabou,538
ultimo,537
posto,536
reis,535
fe,534
tendo,533
tempos,531
fica,531
realmente,529
direito,528
deixa,527
alegre,526
iam,526
estacio,526
naquele,526
va,526
fundo,524
falou,523
governo,523
figura,522
bracos,522
sangue,521
igreja,520
peca,519
expressao,519
cara,518
visto,518
coronel,518
emilia,517
alves,517
chao,516
medo,516
num,515
alguem,514
naquela,510
poesia,510
costume,508
gloria,507
idade,507
povo,506
depressa,504
atencao,504
falta,503
las,503
sra,502
pelas,502
lei,501
viagem,501
esses,500
diga,499
maneira,497
clara,497
fortuna,496
paulo,495
diabo,494
especie,494
tito,493
memoria,493
pequeno,492
dizem,491
conversa,491
podem,490
paixao,489
poucos,489
amanha,489
felix,488
trazia,488
amiga,488
contos,486
acao,486
pedir,486
seis,485
sentia,485
alto,482
duvida,482
crianca,481
alegria,479
minhas,479
carro,478
consciencia,477
lingua,476
fala,476
basta,475
livros,473
flores,473
sentimentos,472
seculo,469
ama,468
cima,468
pediu,468
olhou,468
sociedade,467
forma,467
umas,466
numa,465
major,465
vento,463
questao,462
justamente,460
criado,460
necessidade,459
recebeu,459
pensamento,459
oito,459
perto,459
achar,459
corte,458
conta,456
escrever,455
nesta,452
daqui,451
contar,449
chapeu,447
adeus,447
cor,446
interesse,445
falava,444
aquilo,444
cair,443
unico,443
irmao,441
es,440
abriu,439
apareceu,439
ontem,439
soares,438
prima,437
nessa,436
capitao,436
liberdade,433
dito,431
unica,431
volta,431
comedia,430
sentiu,429
dificil,429
vale,428
teria,427
chama,426
grave,425
doce,424
eis,424
ministro,424
filhos,421
conselho,421
espera,420
cadeira,420
impressao,420
irma,419
pergunta,418
moral,417
achei,417
soube,416
igual,416
guerra,415
delas,415
sendo,413
andar,413
morreu,413
perder,413
tia,412
drama,412
dado,411
afinal,408
mau,408
acha,408
viver,407
nossos,407
somente,406
fato,406
daniel,406
poder,405
acho,405
sofia,405
jardim,405
estilo,404
companhia,404
discurso,402
prova,402
verdadeira,402
cama,401
numero,401
vendo,400
instante,400
pos,399
tive,399
tornou,399
jornal,397
nomes,397
pudesse,397
presente,397
braco,397
passos,396
esperar,395
longo,394
doente,394
cedo,392
esperancas,392
diferenca,392
ficava,391
paz,389
amores,388
sai,388
beleza,388
pequena,388
exclamou,386
trinta,385
nele,385
acaso,385
luisa,382
ambas,381
cabo,379
visita,378
imaginacao,378
bonita,378
movimento,378
boas,376
levou,376
santa,375
sorriu,374
estela,373
lembra,372
fiz,372
prazer,371
cecilia,371
ouro,371
instantes,371
mendonca,370
geral,369
longa,368
rei,367
esperava,367
pior,367
meneses,366
negocio,365
lembrou,364
anda,362
voltar,362
iaia,362
mes,361
poderia,361
vespera,360
claro,360
tens,358
carater,358
dessas,357
acabar,357
sombra,357
publica,357
ii,357
sorriso,356
chegar,356
sono,355
dever,355
cuja,355
realidade,355
ti,355
dali,354
forte,354
capaz,354
pensou,354
europa,353
sonho,352
valentim,352
intencao,352
favor,351
bons,351
alias,350
titulo,350
baixo,350
mocas,349
honra,348
semanas,348
vicente,348
cabelos,347
sido,347
noticias,347
semelhante,346
ex,346
labios,345
augusta,344
explicacao,344
texto,344
gracas,344
parecer,343
tom,343
podiam,342
excelente,341
capitu,341
presidente,341
paginas,340
amava,340
oficio,339
espaco,339
proposito,339
debaixo,338
destino,338
comum,337
dando,336
trata,336
leu,336
concluiu,336
luta,336
fogo,336
obras,336
vejo,334
completa,334
atras,334
justica,333
baile,333
faca,333
verdadeiro,332
remedio,332
chamar,331
pensava,331
viva,331
facil,331
dessa,331
gabinete,331
cujo,330
ouvia,330
curiosidade,329
contava,329
fazendo,329
vieram,329
peco,329
quais,329
peito,328
sete,327
nela,327
romance,327
folha,327
largo,327
tomar,327
faze,327
segredo,326
jornais,325
temos,325
escreveu,325
mandou,324
conselheiro,323
levar,323
fazem,323
magalhaes,323
particular,323
festa,322
sentido,322
estevao,321
houvesse,321
amar,321
rir,321
marques,321
importa,320
morto,320
acima,320
faria,319
artista,319
tanta,318
certeza,318
menina,318
menor,318
for,317
folhas,317
mestre,317
riso,316
nossas,316
correu,316
ernesto,315
sorrindo,315
escola,315
esposa,314
tristeza,314
deveras,313
olhava,313
rapazes,313
uso,313
musica,313
circunstancias,312
namorado,312
amo,311
iii,311
nisto,311
anjo,311
desses,311
confianca,311
frase,310
leitores,309
guarda,308
leva,308
acaba,308
deputado,307
contudo,307
feita,307
le,307
fossem,306
entra,306
poucas,305
fonte,305
vira,305
saudades,305
contou,305
noites,305
frio,305
lho,304
todavia,304
publicado,304
oliveira,303
sorte,303
nacional,303
dormir,303
caiu,302
canto,302
buscar,302
almoco,302
ma,301
bilhete,301
conto,301
asas,301
trouxe,300
crime,300
devo,300
azul,300
tirou,300
passava,300
nota,299
quinze,299
repetiu,299
margarida,299
qualidades,299
lua,298
rindo,297
guiomar,297
dou,297
aqueles,297
alta,297
antigo,297
lembranca,296
jovem,296
conhecia,295
humana,294
chuva,294
interior,293
finalmente,293
ciencia,293
livre,293
dei,293
pagina,292
dedos,292
barao,292
forcas,292
cheio,291
pegou,291
interrompeu,291
letras,291
acabava,290
iria,290
mostrar,290
teus,290
eduardo,290
tirar,289
vestido,289
lethierry,289
nariz,289
deg,289
primeiras,289
tantas,288
velhos,288
comendador,287
esteve,287
sujeito,287
critica,287
